0 [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [22, 0], [23, 0], [24, 0], [25, 0], [26, 0], [27, 0], [28, 0], [29, 0], [30, 0]]
21 [[1, 257240619.31953213], [2, 248591882.78867403], [3, 242176089.82729757], [4, 257502134.81526917], [5, 233881288.0985281], [6, 244407080.55118555], [7, 0], [8, 246002883.1270641], [9, 246267462.04531318], [10, 255961216.6532805], [11, 224487928.85682383], [12, 0], [13, 0], [14, 0], [15, 195910287.67516828], [16, 257034496.9104595], [17, 257756708.99029222], [18, 254697514.83824643], [19, 253091186.93735656], [20, 0], [21, 0], [22, 255767256.9625657], [23, 0], [24, 237811813.70000952], [25, 254820822.27024406], [26, 0], [27, 0], [28, 256912066.3471525], [29, 253553386.14821023], [30, 0]]
22 [[1, 258915256.14640275], [2, 227183765.57734805], [3, 256088044.91364878], [4, 257502134.81526917], [5, 257286163.94138664], [6, 0], [7, 0], [8, 252337886.70212993], [9, 246267462.04531318], [10, 241922433.306561], [11, 224487928.85682383], [12, 0], [13, 0], [14, 257251568.52407292], [15, 195910287.67516828], [16, 257034496.9104595], [17, 245513417.98058444], [18, 254697514.83824643], [19, 253648578.4716784], [20, 0], [21, 0], [22, 241534513.92513138], [23, 259577134.78709874], [24, 255321274.7300994], [25, 253868430.53018153], [26, 0], [27, 0], [28, 243824132.694305], [29, 237106772.29642045], [30, 0]]
23 [[1, 258915256.14640275], [2, 227183765.57734805], [3, 256088044.91364878], [4, 251347753.28937998], [5, 257286163.94138664], [6, 260581861.12150997], [7, 0], [8, 252337886.70212993], [9, 258133731.0226566], [10, 241922433.306561], [11, 257421460.140441], [12, 252036911.0004606], [13, 254743621.2368114], [14, 257251568.52407292], [15, 257590784.87829235], [16, 257492708.83888164], [17, 245513417.98058444], [18, 0], [19, 237297156.9433568], [20, 0], [21, 258602888.8316146], [22, 241534513.92513138], [23, 259577134.78709874], [24, 240642549.46019882], [25, 253868430.53018153], [26, 241364171.9933628], [27, 257449906.5870165], [28, 243824132.694305], [29, 220660158.44463068], [30, 0]]
24 [[1, 0], [2, 254748061.07095242], [3, 254421892.85889363], [4, 251347753.28937998], [5, 248949923.70256785], [6, 260581861.12150997], [7, 256140653.36848527], [8, 252995806.99206766], [9, 246267462.04531318], [10, 0], [11, 257421460.140441], [12, 252036911.0004606], [13, 254743621.2368114], [14, 261272095.33961144], [15, 245181569.7565847], [16, 257492708.83888164], [17, 257756708.99029222], [18, 255203525.1791149], [19, 220945735.41503522], [20, 252810050.4929203], [21, 258602888.8316146], [22, 251270486.48388183], [23, 243873541.34535187], [24, 240642549.46019882], [25, 248508086.50556612], [26, 241364171.9933628], [27, 257449906.5870165], [28, 260903802.0286748], [29, 204213544.5928409], [30, 0]]
25 [[1, 0], [2, 254748061.07095242], [3, 254421892.85889363], [4, 256120409.2861778], [5, 227899847.4051357], [6, 255452104.4732407], [7, 256140653.36848527], [8, 235991613.98413533], [9, 234401193.06796977], [10, 0], [11, 254548079.5840765], [12, 256396442.71000585], [13, 256154946.07566082], [14, 261272095.33961144], [15, 232772354.63487706], [16, 0], [17, 245513417.98058444], [18, 240407050.35822982], [19, 220945735.41503522], [20, 252810050.4929203], [21, 258602888.8316146], [22, 251270486.48388183], [23, 243873541.34535187], [24, 251291252.59448108], [25, 227016173.01113224], [26, 249202750.62855142], [27, 256060014.02922702], [28, 260903802.0286748], [29, 204213544.5928409], [30, 255565904.26316676]]
26 [[1, 258915256.14640275], [2, 0], [3, 248843234.9552529], [4, 242240818.57235563], [5, 206849771.10770354], [6, 255452104.4732407], [7, 255525835.61297736], [8, 218987420.976203], [9, 234401193.06796977], [10, 249658462.7638365], [11, 254548079.5840765], [12, 256396442.71000585], [13, 256154946.07566082], [14, 257251568.52407292], [15, 220363139.5131694], [16, 0], [17, 233270126.97087666], [18, 225610575.53734472], [19, 257809007.73067808], [20, 0], [21, 247205777.66322923], [22, 255767256.9625657], [23, 0], [24, 251291252.59448108], [25, 227016173.01113224], [26, 228405501.25710285], [27, 256060014.02922702], [28, 0], [29, 0], [30, 241131808.5263335]]
27 [[1, 247830512.2928055], [2, 248591882.78867403], [3, 227686469.91050577], [4, 242240818.57235563], [5, 206849771.10770354], [6, 257203540.27559277], [7, 255525835.61297736], [8, 201983227.96827066], [9, 252050182.13853824], [10, 229316925.527673], [11, 0], [12, 255240133.06368738], [13, 0], [14, 257251568.52407292], [15, 207953924.39146176], [16, 254806007.0766114], [17, 221026835.9611689], [18, 225610575.53734472], [19, 257809007.73067808], [20, 0], [21, 235808666.49484384], [22, 241534513.92513138], [23, 0], [24, 0], [25, 256156871.92689788], [26, 228405501.25710285], [27, 0], [28, 0], [29, 255774195.4221177], [30, 226697712.78950027]]
28 [[1, 236745768.43920824], [2, 248591882.78867403], [3, 227686469.91050577], [4, 256120409.2861778], [5, 254451929.2841944], [6, 244407080.55118555], [7, 256881452.28626165], [8, 201983227.96827066], [9, 252050182.13853824], [10, 229316925.527673], [11, 0], [12, 255240133.06368738], [13, 253741501.89597973], [14, 256057930.63077375], [15, 207953924.39146176], [16, 254806007.0766114], [17, 208783544.9514611], [18, 254697514.83824643], [19, 0], [20, 0], [21, 224411555.32645845], [22, 241534513.92513138], [23, 0], [24, 0], [25, 242313743.85379577], [26, 0], [27, 249638968.93749], [28, 0], [29, 255774195.4221177], [30, 212263617.05266702]]
29 [[1, 225661024.585611], [2, 253646237.6000209], [3, 0], [4, 256120409.2861778], [5, 254451929.2841944], [6, 231610620.82677832], [7, 243762904.5725233], [8, 251904277.64270365], [9, 256951966.50652587], [10, 0], [11, 255861508.9493619], [12, 255240133.06368738], [13, 253741501.89597973], [14, 256057930.63077375], [15, 256963992.46221998], [16, 258089207.77879336], [17, 196540253.94175333], [18, 254697514.83824643], [19, 256620543.70110923], [20, 254818160.3527042], [21, 213014444.15807307], [22, 251270486.48388183], [23, 0], [24, 0], [25, 228470615.78069365], [26, 0], [27, 229277937.87497997], [28, 0], [29, 252693764.25130236], [30, 212263617.05266702]]
30 [[1, 225661024.585611], [2, 253646237.6000209], [3, 0], [4, 0], [5, 0], [6, 231610620.82677832], [7, 243762904.5725233], [8, 251904277.64270365], [9, 256951966.50652587], [10, 0], [11, 241723017.89872378], [12, 255240133.06368738], [13, 257537269.93382284], [14, 0], [15, 256963992.46221998], [16, 246178415.55758673], [17, 184296962.93204555], [18, 0], [19, 243241087.40221846], [20, 239636320.7054084], [21, 213014444.15807307], [22, 251270486.48388183], [23, 0], [24, 0], [25, 228470615.78069365], [26, 0], [27, 208916906.81246996], [28, 0], [29, 252693764.25130236], [30, 0]]
